phase,phase_title,type,category,item,item_id,linked_item_id
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"オペレーターステーション（OPS）の画面全体または一部がフリーズ、表示が欠ける",1_0,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"プロセス値（温度、圧力、流量等）が更新されない、または異常値（ノイズ大、上限/下限に固定）を示す",1_1,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"制御ループがハンチング（振動）を起こす、または制御出力が最大/最小に振り切れる",1_2,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"システムのアラームサマリーに「コントローラー異常」「I/Oモジュール異常」「通信異常」等が多発する",1_3,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"フィールド機器（バルブ、ポンプ等）の実際の動作とOPS上の表示・状態が一致しない",1_4,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"DCS本体（コントローラー、I/Oユニット、電源ユニット）のステータスLEDが赤点灯または消灯している",1_5,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,サーバーやヒストリカルデータ収集装置からのデータ取得が失敗する,1_6,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,その他,1_7,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,重大なプロセス異常に繋がる場合、関連する制御ループを手動（MAN）モードに切り替えた,1_8,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,安全上クリティカルな機器（緊急遮断弁、ポンプ等）を手動で安全な状態に操作した,1_9,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,システム管理者およびメンテナンス部門、関連部署へ異常発生を第一報連絡した,1_10,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,状況が改善しない場合、プラントの安全手順に従い、関連プロセスの停止を判断・実行した,1_11,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,関係者以外がDCSを操作しないよう、物理的またはシステム的にアクセスを制限した,1_12,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,アラーム・イベント確認,最初に発生したアラームとその発生時刻は何か,2_0,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,アラーム・イベント確認,同時刻に複数のアラームが発生しているか、その関連性は何か,2_1,
