phase,phase_title,type,category,item,item_id,linked_item_id
1,異常検知・緊急停止,checklist,異常検知,ポンプが水を吸い上げない（揚水不良）,1_0,
1,異常検知・緊急停止,checklist,異常検知,吐出量が少ない、または不安定,1_1,
1,異常検知・緊急停止,checklist,異常検知,ポンプ本体または配管から水漏れがある,1_2,
1,異常検知・緊急停止,checklist,異常検知,モーターまたはポンプ本体から異音がする（ガラガラ、キーキー等）,1_3,
1,異常検知・緊急停止,checklist,異常検知,ポンプ本体またはモーターに異常な振動がある,1_4,
1,異常検知・緊急停止,checklist,異常検知,モーターが異常に発熱している、または焦げ臭い匂いがする,1_5,
1,異常検知・緊急停止,checklist,異常検知,圧力計・流量計の指示値が異常である,1_6,
1,異常検知・緊急停止,checklist,異常検知,制御盤の警報ランプが点灯、またはエラーが表示されている,1_7,
1,異常検知・緊急停止,checklist,異常検知,その他,1_8,
1,異常検知・緊急停止,checklist,緊急停止措置,ポンプの非常停止ボタンを押す,1_9,
1,異常検知・緊急停止,checklist,緊急停止措置,主電源（ブレーカー）を遮断する,1_10,
1,異常検知・緊急停止,checklist,緊急停止措置,電源遮断箇所にロックアウト/タグアウトを実施する,1_11,
1,異常検知・緊急停止,checklist,緊急停止措置,ポンプ前後のバルブ（吸込側、吐出側）を閉止する,1_12,
1,異常検知・緊急停止,checklist,緊急停止措置,関連部署およびメンテナンス部門に異常発生を報告する,1_13,
2,故障原因調査（使用部門）,checklist_with_status,運転状況,起動操作手順に誤りがある,2_0,
2,故障原因調査（使用部門）,checklist_with_status,運転状況,運転設定（流量、圧力）が不適切である,2_1,
2,故障原因調査（使用部門）,checklist_with_status,吸込側,吸込側のストレーナーが詰まっている,2_2,
2,故障原因調査（使用部門）,checklist_with_status,吸込側,吸込配管の先端が水面上に出て空気を吸い込んでいる,2_3,
2,故障原因調査（使用部門）,checklist_with_status,吸込側,吸込側のバルブが閉じている、または開き度が不足している,2_4,
2,故障原因調査（使用部門）,checklist_with_status,吸込側,フート弁の動作に異常がある,2_5,
2,故障原因調査（使用部門）,checklist_with_status,吐出側,吐出側のバルブが全開、または全閉になっている,2_6,
2,故障原因調査（使用部門）,checklist_with_status,吐出側,吐出配管の系統に詰まりがある,2_7,
2,故障原因調査（使用部門）,checklist_with_status,周辺環境,ポンプ周辺に漏れた液体がある,2_8,
2,故障原因調査（使用部門）,checklist_with_status,周辺環境,設置場所の換気が悪く、モーターが過熱している,2_9,
3,対策実施（使用部門）,checklist_with_status,運転状況,正しい起動操作手順を確認し、再操作する,3_0,2_0
3,対策実施（使用部門）,checklist_with_status,運転状況,運転設定を適正値に修正する,3_1,2_1,
3,対策実施（使用部門）,checklist_with_status,吸込側,吸込側のストレーナーを清掃する,3_2,2_2,
3,対策実施（使用部門）,checklist_with_status,吸込側,吸込配管の先端が完全に水没するように調整する,3_3,2_3,
3,対策実施（使用部門）,checklist_with_status,吸込側,吸込側のバルブを全開にする,3_4,2_4,
3,対策実施（使用部門）,checklist_with_status,吸込側,フート弁の点検・清掃を実施する,3_5,2_5,
3,対策実施（使用部門）,checklist_with_status,吐出側,吐出側のバルブを適切な開度に調整する,3_6,2_6,
