phase,phase_title,type,category,item,item_id,linked_item_id
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,ポンプが揚液しない、または吐出量が著しく少ない,1_0,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,モーターは回転しているが、ポンプから送液されていない（空回り）,1_1,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,ポンプ本体またはモーターから異音がする（擦れ音、ガラガラ音）,1_2,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,ポンプ本体またはモーターに異常な振動がある,1_3,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,ポンプ本体が異常に発熱している,1_4,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,ポンプケーシングや配管接続部から液漏れがある,1_5,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,モーターが過負荷（オーバーロード）で停止する,1_6,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,圧力計、流量計の指示値が異常である,1_7,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,その他,1_8,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,ポンプの非常停止ボタンを押す,1_9,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,主電源（ブレーカー）を遮断する,1_10,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,電源遮断箇所にロックアウト/タグアウトを実施する,1_11,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,ポンプ前後のバルブ（吸込側、吐出側）を閉止する,1_12,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,関連部署およびメンテナンス部門に異常発生を報告する,1_13,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,運転状況,タンク液切れによる空運転が発生した,2_0,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,運転状況,吸込側のバルブが閉じている、または開き度が不足している,2_1,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,運転状況,吐出側のバルブが全閉のまま運転している,2_2,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,運転状況,吸込配管からエアを吸い込んでいる（エア噛み）,2_3,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,運転状況,吸込ストレーナーが目詰まりしている,2_4,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,運転状況,移送液に固形物（スラリー）や金属片が混入している,2_5,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,運転状況,移送液の粘度や比重が仕様範囲を超えている,2_6,
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,運転状況,タンクに薬液を補充し、空運転を防止する,3_0,2_0
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,運転状況,吸込側のバルブを全開にする,3_1,2_1
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,運転状況,吐出側のバルブを適切な開度に調整する,3_2,2_2
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,運転状況,吸込配管の接続部を増し締めし、エアの吸い込みを止める,3_3,2_3
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,運転状況,吸込ストレーナーを清掃する,3_4,2_4
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,運転状況,移送液中の固形物を除去する対策を講じる,3_5,2_5
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,運転状況,移送液の粘度や比重を仕様範囲内に収まるよう管理する,3_6,2_6
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,モーター・動力,モーターの回転方向が逆である,4_0,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,モーター・動力,電源の欠相、または電圧が低下している,4_1,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,モーター・動力,モーターの過負荷保護装置（サーマルリレー）が作動している,4_2,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,マグネットカップリング,インナーマグネットとアウターマグネットがカップリングアウト（脱調）している,4_3,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,マグネットカップリング,マグネットが割れている、または腐食している,4_4,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,ポンプ内部部品,インペラ（羽根車）が摩耗または破損している,4_5,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,ポンプ内部部品,スピンドル（主軸）が摩耗または折損している,4_6,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,ポンプ内部部品,軸受（ベアリング）が摩耗または破損している,4_7,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,ポンプ内部部品,スラスト受けが摩耗または破損している,4_8,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,ポンプ内部部品,リアケーシング（マグネットカプセル）が熱や圧力で変形・破損している,4_9,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,ポンプ内部部品,Oリングやガスケットが劣化・損傷している,4_10,
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,モーター・動力,モーターの結線を修正し、正しい回転方向にする,5_0,4_0
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,モーター・動力,電源系統を点検し、規定電圧を確保する,5_1,4_1
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,モーター・動力,過負荷の原因（固着、粘度上昇等）を調査・除去し、サーマルリレーをリセットする,5_2,4_2
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,マグネットカップリング,過負荷や固着の原因を除去後、一度ポンプを停止し再起動する,5_3,4_3
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,マグネットカップリング,インナーマグネットまたはアウターマグネットを交換する,5_4,4_4
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,ポンプ内部部品,インペラを交換する,5_5,4_5
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,ポンプ内部部品,スピンドルを交換する,5_6,4_6
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,ポンプ内部部品,軸受（ベアリング）を交換する,5_7,4_7
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,ポンプ内部部品,スラスト受けを交換する,5_8,4_8
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,ポンプ内部部品,リアケーシングを交換する,5_9,4_9
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,ポンプ内部部品,Oリングやガスケットを交換する,5_10,4_10
6,"Phase 4: 再起動前準備",checklist_with_status,安全確認,ロックアウト/タグアウトが解除されていることを確認する,6_0,
6,"Phase 4: 再起動前準備",checklist_with_status,復旧確認,修理・交換箇所に問題がないことを目視で確認する,6_1,
6,"Phase 4: 再起動前準備",checklist_with_status,復旧確認,ポンプケーシングのボルトが均等に締め付けられていることを確認する,6_2,
6,"Phase 4: 再起動前準備",checklist_with_status,系統確認,ポンプ前後のバルブが規定の位置にあることを確認する（吸込側：開、吐出側：閉または少し開）,6_3,
6,"Phase 4: 再起動前準備",checklist_with_status,初期充填,ポンプケーシング内に移送液を完全に満たし、エア抜きを確実に行う（呼び液）,6_4,
6,"Phase 4: 再起動前準備",checklist_with_status,手動確認,アウターマグネットを手で回し、インペラがスムーズに回転し、固着や接触音がないことを確認する,6_5,
