phase,phase_title,type,category,item,item_id,linked_item_id
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,ポンプが起動しない、またはモーターが回転しない,1_0,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,ポンプから液体が吐出されない、または吐出量が著しく少ない,1_1,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,運転中に「カラカラ」「ゴロゴロ」といった異音や、異常な振動がある,1_2,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,モーターケーシングの表面温度が異常に高い,1_3,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,モーターの過負荷保護装置（サーマルリレー）が作動している,1_4,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,ケーシングのガスケット部から液体が漏れている,1_5,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,（TRGモニタ付の場合）TRGの指示値が異常値（赤色域）を示している,1_6,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,その他,1_7,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,ポンプの緊急停止ボタンを操作する。,1_8,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,制御盤の主電源を遮断し、施錠（ロックアウト）および表示（タグアウト）を実施する。,1_9,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,ポンプの吸込側および吐出側のバルブを完全に閉鎖する。,1_10,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,高温または危険な液体の場合、周辺区域への立ち入りを禁止し、安全を確保する。,1_11,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,運転状況確認,吸込側タンクの液面が不足している（空運転）,2_0,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,運転状況確認,移送液にスラリー（固形物）が混入、または粘度が高い,2_1,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,運転状況確認,吸込側・吐出側のバルブが全開になっていない,2_2,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,外観・目視点検,吸込側配管ラインのストレーナー（フィルター）に詰まりがある,2_3,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,外観・目視点検,ポンプ本体および配管のエア抜きが不十分,2_4,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,外観・目視点検,（冷却ジャケット付の場合）冷却水の流量不足、または供給停止,2_5,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,計器類確認,圧力計や流量計の指示値が異常,2_6,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,計器類確認,電流計の指示値が定格を超えている,2_7,
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,運転状況確認,吸込側タンクに液体を補給する。,3_0,2_0
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,運転状況確認,移送液の品質を確認し、前処理工程を見直す。,3_1,2_1
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,運転状況確認,バルブを完全に開ける。,3_2,2_2
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,外観・目視点検,ストレーナーを分解し、内部を清掃する。,3_3,2_3
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,外観・目視点検,ポンプ本体および配管のエア抜きを再度、確実に行う。,3_4,2_4
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,外観・目視点検,冷却水の供給を復旧させ、流量を再調整する。,3_5,2_5
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,計器類確認,計器類確認,3_6,2_6
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,計器類確認,（過電流の場合）運転を停止し、メンテナンス部門へ調査を依頼する。,3_7,2_7
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,制御・電気系統,モーターへの供給電圧が不均一または低下している（欠相を含む）,4_0,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,制御・電気系統,モーター巻線の絶縁抵抗が規定値以下,4_1,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,制御・電気系統,過負荷保護装置（サーマルリレー）の設定値が不適切,4_2,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,ポンプ本体・内部部品,前後ベアリング（スリーブベアリング）に異常な摩耗、傷、焼き付きがある,4_3,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,ポンプ本体・内部部品,インペラ（羽根車）に摩耗、腐食、異物の詰まりがある,4_4,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,ポンプ本体・内部部品,スラストワッシャー（スラスト軸受）に摩耗や傷がある,4_5,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,ポンプ本体・内部部品,ロータキャンまたはステータキャンに変形、腐食、接触痕がある,4_6,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,配管・システム,吸込配管の構造が原因で、空気だまりが発生している,4_7,
4,"Phase 2-2: 故障原因調査（メンテナンス部門）",checklist_with_status,配管・システム,キャビテーション（液体の沸騰）が発生する運転条件になっている,4_8,
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,制御・電気系統,電源系統を点検し、電圧が不安定な原因を特定・修理する。,5_0,4_0
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,制御・電気系統,絶縁不良の場合、モーターを交換する。,5_1,4_1
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,制御・電気系統,過負荷保護装置の設定値を再設定する。,5_2,4_2
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,ポンプ本体・内部部品,摩耗・損傷したベアリングを新品に交換する。,5_3,4_3
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,ポンプ本体・内部部品,摩耗・損傷したインペラを交換し、詰まりを除去する。,5_4,4_4
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,ポンプ本体・内部部品,摩耗したスラストワッシャーを新品に交換する。,5_5,4_5
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,ポンプ本体・内部部品,変形・損傷したキャンを持つモーターを交換する。,5_6,4_6
5,"Phase 3-2: 対策実施（メンテナンス部門）",checklist_with_status,配管・システム,空気だまりが発生しないよう、配管経路の修正を検討・実施する。,5_7,4_7
