phase,phase_title,type,category,item,item_id,linked_item_id
1,異常検知・緊急停止,checklist,異常検知,ポンプから液体が吐出されない、または吐出量が著しく少ないか？,1_0,
1,異常検知・緊急停止,checklist,異常検知,吐出圧力が規定値まで上昇しない、または不安定ではないか？,1_1,
1,異常検知・緊急停止,checklist,異常検知,ポンプ本体やモーターから、きしみ音、打撃音などの異音は発生していないか？,1_2,
1,異常検知・緊急停止,checklist,異常検知,運転中に異常な振動が発生していないか？,1_3,
1,異常検知・緊急停止,checklist,異常検知,駆動軸のシール部（グランドパッキン、メカニカルシール）から液体が漏れていないか？,1_4,
1,異常検知・緊急停止,checklist,異常検知,モーターが過熱している、または過電流でトリップしていないか？,1_5,
1,異常検知・緊急停止,checklist,異常検知,圧力計や流量計の指示値が急激に変動していないか？,1_6,
1,異常検知・緊急停止,checklist,異常検知,その他,1_7,
1,異常検知・緊急停止,checklist,緊急停止措置,ポンプの緊急停止ボタンを操作する。,1_8,
1,異常検知・緊急停止,checklist,緊急停止措置,制御盤の主電源を遮断し、施錠（ロックアウト）および表示（タグアウト）を実施する。,1_9,
1,異常検知・緊急停止,checklist,緊急停止措置,ポンプの吸込側および吐出側のバルブを閉鎖する。,1_10,
1,異常検知・緊急停止,checklist,緊急停止措置,高温または危険な液体の場合、周辺区域への立ち入りを禁止し、安全を確保する。,1_11,
2,故障原因調査,checklist_with_status,運転状況確認,吸込側タンクの液面は十分か？（液切れしていないか）,2_0,
2,故障原因調査,checklist_with_status,運転状況確認,移送液の温度や粘度は、ポンプの仕様範囲内か？,2_1,
2,故障原因調査,checklist_with_status,運転状況確認,ポンプの回転方向は、ケーシングに示された矢印の向きと一致しているか？,2_2,
2,故障原因調査,checklist_with_status,外観・目視点検,吸込側配管ラインにあるストレーナー（フィルター）は詰まっていないか？,2_3,
2,故障原因調査,checklist_with_status,外観・目視点検,吸込側・吐出側のバルブは完全に開いているか？,2_4,
2,故障原因調査,checklist_with_status,外観・目視点検,配管のフランジ部や接続継手から、液体漏れや空気の吸い込み（エア噛み）はないか？,2_5,
2,故障原因調査,checklist_with_status,外観・目視点検,ポンプの基礎ボルトに緩みはないか？,2_6,
2,故障原因調査,checklist_with_status,駆動・伝達系統,モーターとポンプのカップリング（軸継手）に芯ずれ（ミスアライメント）はないか？,2_7,
2,故障原因調査,checklist_with_status,駆動・伝達系統,カップリングの防振ゴムやキー（回り止め）に損傷はないか？,2_8,
2,故障原因調査,checklist_with_status,駆動・伝達系統,モーター単体で運転した際に、異音や過大な振動はないか？（ベアリング損傷の可能性）,2_9,
2,故障原因調査,checklist_with_status,ポンプ本体・内部部品（分解点検）,駆動歯車および被動歯車の歯面に異常な摩耗や傷、欠けはないか？,2_10,
2,故障原因調査,checklist_with_status,ポンプ本体・内部部品（分解点検）,ケーシング内部やサイドプレートに、歯車との接触による摩耗痕はないか？,2_11,
2,故障原因調査,checklist_with_status,ポンプ本体・内部部品（分解点検）,軸受（ブッシュ）に異常な摩耗や焼き付きはないか？,2_12,
2,故障原因調査,checklist_with_status,ポンプ本体・内部部品（分解点検）,軸封（メカニカルシール、グランドパッキン）は損傷・劣化していないか？,2_13,
2,故障原因調査,checklist_with_status,ポンプ本体・内部部品,安全弁（リリーフバルブ）の設定圧は適切か？また、異物噛みによる作動不良はないか？,2_14,
2,故障原因調査,checklist_with_status,制御・電気系統,モーターへの供給電圧は三相とも均一で、規定値範囲内か？,2_15,
2,故障原因調査,checklist_with_status,制御・電気系統,インバーター制御の場合、パラメータ（周波数、加減速時間など）の設定は適切か？,2_16,
3,対策実施,checklist_with_status,運転状況確認,吸込側タンクに液体を補給する。,3_0,2_0
3,対策実施,checklist_with_status,運転状況確認,移送液の温度や粘度を仕様範囲内に調整する。,3_1,2_1
3,対策実施,checklist_with_status,運転状況確認,（メンテナンス部門へ依頼）モーターの結線を変更し、正しい回転方向にする。,3_2,2_2
3,対策実施,checklist_with_status,外観・目視点検,ストレーナーを分解し、内部を清掃する。,3_3,2_3
3,対策実施,checklist_with_status,外観・目視点検,バルブを完全に開ける。,3_4,2_4
3,対策実施,checklist_with_status,外観・目視点検,漏れている箇所やエアを吸い込んでいる箇所のボルトを増し締めするか、ガスケットを交換する。,3_5,2_5
3,対策実施,checklist_with_status,外観・目視点検,緩んでいる基礎ボルトを増し締めする。,3_6,2_6
3,対策実施,checklist_with_status,駆動・伝達系統,ダイヤルゲージ等を用いて、カップリングのアライメント調整（芯出し）を行う。,3_7,2_7
3,対策実施,checklist_with_status,駆動・伝達系統,損傷したカップリング部品を交換する。,3_8,2_8
3,対策実施,checklist_with_status,駆動・伝達系統,モーターのベアリングを交換する。,3_9,2_9
3,対策実施,checklist_with_status,ポンプ本体・内部部品,摩耗・損傷した歯車を交換する。,3_10,2_10
3,対策実施,checklist_with_status,ポンプ本体・内部部品,摩耗したケーシングやサイドプレートを交換する（またはポンプ本体を交換）。,3_11,2_11
3,対策実施,checklist_with_status,ポンプ本体・内部部品,摩耗・焼き付きした軸受を交換する。,3_12,2_12
3,対策実施,checklist_with_status,ポンプ本体・内部部品,損傷・劣化した軸封部品を交換する。,3_13,2_13
3,対策実施,checklist_with_status,ポンプ本体・内部部品,安全弁を分解清掃し、設定圧を再調整する。または安全弁を交換する。,3_14,2_14
3,対策実施,checklist_with_status,制御・電気系統,電源系統を点検し、電圧が不安定な原因を特定・修理する。,3_15,2_15
3,対策実施,checklist_with_status,制御・電気系統,インバーターのパラメータを、ポンプと運転条件に合わせて再設定する。,3_16,2_16
4,再起動前準備,checklist_with_status,復旧確認,交換した部品や修理した箇所は、メーカーの仕様通りに正しく組付けられているか？,4_0,
4,再起動前準備,checklist_with_status,復旧確認,ポンプ内部に呼び水（呼び液）は満たされているか？,4_1,
4,再起動前準備,checklist_with_status,復旧確認,工具、部品、ウエスなどがポンプ本体や周辺に放置されていないか？,4_2,
4,再起動前準備,checklist_with_status,安全確認,カップリングカバーなどの安全カバーは、所定の位置に確実に取り付けられているか？,4_3,
4,再起動前準備,checklist_with_status,電源投入,制御盤の主電源を投入し、エラー表示などが出ていないか確認したか？,4_5,
4,再起動前準備,checklist_with_status,状態記録,故障内容、原因、対策、交換部品などを設備台帳や作業報告書に正確に記録したか？,4_6,
5,試運転・正規運転,checklist_with_status,寸動運転,モーターを瞬間的に回転させ、回転方向が正しいこと、および引っ掛かりや異音がないことを確認したか？,5_0,4_0
5,試運転・正規運転,checklist_with_status,無負荷運転（可能であれば）,吐出側バルブを少し開けた状態で短時間運転し、エア抜きは完了したか？,5_1,4_1
5,試運転・正規運転,checklist_with_status,品質確認,吐出された液体に、金属粉などの異物が混入していないか？,5_2,4_2
5,試運転・正規運転,checklist_with_status,段階的な速度上昇,吐出側バルブを徐々に開き、正規の流量・圧力まで負荷をかけていく過程で、異常はないか？,5_3,4_3
5,試運転・正規運転,checklist_with_status,性能指標確認,正規の運転状態で、吐出圧力、流量、モーター電流値は規定値で安定しているか？,5_4,4_4
5,試運転・正規運転,checklist_with_status,性能指標確認,ポンプ本体、軸受部、モーターの表面温度に異常な上昇はないか？,5_5,4_5
5,試運転・正規運転,checklist_with_status,正規運転・監視,正規運転移行後、振動値や騒音レベルは基準値以下であり、安定しているか？,5_6,4_6
