phase,phase_title,type,category,item,item_id,linked_item_id
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"袋が供給されない（給袋ミス）、または複数枚同時に供給される（二枚取り）",1_0,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"充填重量が設定値から大きく外れる、または計量値が安定しない（バラツキ大）",1_1,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"【ミシン】 糸が頻繁に切れる、縫い目が飛ぶ（目飛び）、または糸が絡まる（鳥の巣発生）",1_2,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"【ミシン】 縫い目のピッチが不均一、蛇行する、またはクレープ紙テープが外れる",1_3,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"【ヒートシール】 シール部分の接着が弱い・剥がれる（シール不良）、または異物が混入する（噛み込み）",1_4,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"【ヒートシール】 シール部分が溶けすぎる、シワになる、または穴が開く（オーバーシール）",1_5,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"袋が搬送中に倒れる、または所定の位置からズレる",1_6,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"機械から異音（金属音、打音、きしみ音）、異臭（焦げ臭い匂い、電気的な匂い）、異常な振動が発生する",1_7,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,"操作パネルにエラーコードや「モーター過負荷」「センサー未検出」等の警告が表示されている",1_8,
1,"Phase 1: 異常検知・緊急停止",checklist,異常検知,その他,1_9,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,直ちに「非常停止ボタン」を押し、機械を停止させる,1_10,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,"メンテナンス時は、必ず主電源ブレーカーを「OFF」にし、「操作禁止/作業中」の札を掲示する（ロックアウト/タグアウト）",1_11,
1,"Phase 1: 異常検知・緊急停止",checklist,緊急停止措置,責任者およびメンテナンス部門に、発生状況、エラー内容、発生箇所を正確に報告する,1_12,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,資材確認,"紙袋が湿気ている、反っている、または折れている",2_0,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,資材確認,"ミシン糸の糸道が間違っている、またはテープが正しくセットされていない",2_1,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,外観・目視点検,"吸着パッド、センサーレンズ、シールバー表面に汚れや粉塵が付着している",2_2,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,外観・目視点検,"ミシン針が曲がっている、または先端が摩耗している",2_3,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,操作パネル確認,エラー履歴に具体的なエラーコードが表示されている,2_4,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,操作パネル確認,ヒーター温度や各種設定値が、基準値から変更されている,2_5,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,空圧系統確認,"エアゲージ（圧力計）の圧力が規定値より低い、または高すぎる",2_6,
2,"Phase 2-1: 故障原因調査（使用部門）",checklist_with_status,空圧系統確認,"エアーフィルターのケースに、水分（ドレン）や油分が溜まっている",2_7,
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,資材確認,乾燥した正常な紙袋に交換する,3_0,2_0,
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,資材確認,ミシン糸を正しい糸道にかけ直し、テープを正しくセットし直す,3_1,2_1,
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,外観・目視点検,"付着した汚れや粉塵を、ウエスやエアブローで清掃する",3_2,2_2,
3,"Phase 3-1: 対策実施（使用部門）",checklist_with_status,外観・目視点検,摩耗したミシン針を新品に交換する,3_3,2_3,
